"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-1992","        0.00","        0.00","        0.00","      572.82","-","-"
"02-Jan-1992","        0.00","        0.00","        0.00","      576.28","-","-"
"03-Jan-1992","        0.00","        0.00","        0.00","      584.29","-","-"
"06-Jan-1992","        0.00","        0.00","        0.00","      576.26","-","-"
"07-Jan-1992","        0.00","        0.00","        0.00","      574.46","-","-"
"08-Jan-1992","        0.00","        0.00","        0.00","      575.80","-","-"
"09-Jan-1992","        0.00","        0.00","        0.00","      581.06","-","-"
"13-Jan-1992","        0.00","        0.00","        0.00","      590.46","-","-"
"14-Jan-1992","        0.00","        0.00","        0.00","      591.86","-","-"
"15-Jan-1992","        0.00","        0.00","        0.00","      596.63","-","-"
"16-Jan-1992","        0.00","        0.00","        0.00","      591.40","-","-"
"17-Jan-1992","        0.00","        0.00","        0.00","      617.27","-","-"
"20-Jan-1992","        0.00","        0.00","        0.00","      617.65","-","-"
"21-Jan-1992","        0.00","        0.00","        0.00","      624.04","-","-"
"22-Jan-1992","        0.00","        0.00","        0.00","      631.32","-","-"
"23-Jan-1992","        0.00","        0.00","        0.00","      635.61","-","-"
"24-Jan-1992","        0.00","        0.00","        0.00","      632.34","-","-"
"27-Jan-1992","        0.00","        0.00","        0.00","      645.44","-","-"
"29-Jan-1992","        0.00","        0.00","        0.00","      658.92","-","-"
"30-Jan-1992","        0.00","        0.00","        0.00","      683.46","-","-"
"31-Jan-1992","        0.00","        0.00","        0.00","      684.93","-","-"
"03-Feb-1992","        0.00","        0.00","        0.00","      673.66","-","-"
"04-Feb-1992","        0.00","        0.00","        0.00","      676.15","-","-"
"05-Feb-1992","        0.00","        0.00","        0.00","      679.48","-","-"
"06-Feb-1992","        0.00","        0.00","        0.00","      685.43","-","-"
"07-Feb-1992","        0.00","        0.00","        0.00","      651.44","-","-"
"10-Feb-1992","        0.00","        0.00","        0.00","      681.49","-","-"
"12-Feb-1992","        0.00","        0.00","        0.00","      692.56","-","-"
"13-Feb-1992","        0.00","        0.00","        0.00","      697.85","-","-"
"17-Feb-1992","        0.00","        0.00","        0.00","      732.76","-","-"
"18-Feb-1992","        0.00","        0.00","        0.00","      722.79","-","-"
"19-Feb-1992","        0.00","        0.00","        0.00","      714.22","-","-"
"20-Feb-1992","        0.00","        0.00","        0.00","      730.37","-","-"
"21-Feb-1992","        0.00","        0.00","        0.00","      733.60","-","-"
"24-Feb-1992","        0.00","        0.00","        0.00","      744.89","-","-"
"26-Feb-1992","        0.00","        0.00","        0.00","      779.57","-","-"
"27-Feb-1992","        0.00","        0.00","        0.00","      810.57","-","-"
"28-Feb-1992","        0.00","        0.00","        0.00","      813.13","-","-"
"29-Feb-1992","        0.00","        0.00","        0.00","      889.30","-","-"
"02-Mar-1992","        0.00","        0.00","        0.00","      982.30","-","-"
"03-Mar-1992","        0.00","        0.00","        0.00","      995.09","-","-"
"09-Mar-1992","        0.00","        0.00","        0.00","     1016.53","-","-"
"10-Mar-1992","        0.00","        0.00","        0.00","      951.17","-","-"
"11-Mar-1992","        0.00","        0.00","        0.00","      911.63","-","-"
"12-Mar-1992","        0.00","        0.00","        0.00","      932.37","-","-"
"13-Mar-1992","        0.00","        0.00","        0.00","      941.52","-","-"
"16-Mar-1992","        0.00","        0.00","        0.00","      945.63","-","-"
"17-Mar-1992","        0.00","        0.00","        0.00","      927.49","-","-"
"18-Mar-1992","        0.00","        0.00","        0.00","      906.97","-","-"
"20-Mar-1992","        0.00","        0.00","        0.00","      940.47","-","-"
"24-Mar-1992","        0.00","        0.00","        0.00","     1061.29","-","-"
"25-Mar-1992","        0.00","        0.00","        0.00","     1100.13","-","-"
"27-Mar-1992","        0.00","        0.00","        0.00","     1096.95","-","-"
"30-Mar-1992","        0.00","        0.00","        0.00","     1201.04","-","-"
"31-Mar-1992","        0.00","        0.00","        0.00","     1261.65","-","-"
"02-Apr-1992","        0.00","        0.00","        0.00","     1275.51","-","-"
"03-Apr-1992","        0.00","        0.00","        0.00","     1236.30","-","-"
"06-Apr-1992","        0.00","        0.00","        0.00","     1171.34","-","-"
"07-Apr-1992","        0.00","        0.00","        0.00","     1159.97","-","-"
"08-Apr-1992","        0.00","        0.00","        0.00","     1242.84","-","-"
"10-Apr-1992","        0.00","        0.00","        0.00","     1235.06","-","-"
"13-Apr-1992","        0.00","        0.00","        0.00","     1203.06","-","-"
"22-Apr-1992","        0.00","        0.00","        0.00","     1278.19","-","-"
"23-Apr-1992","        0.00","        0.00","        0.00","     1280.92","-","-"
"28-Apr-1992","        0.00","        0.00","        0.00","     1130.16","-","-"
"29-Apr-1992","        0.00","        0.00","        0.00","     1065.64","-","-"
"30-Apr-1992","        0.00","        0.00","        0.00","     1105.55","-","-"
"06-May-1992","        0.00","        0.00","        0.00","     1011.11","-","-"
"07-May-1992","        0.00","        0.00","        0.00","     1032.16","-","-"
"11-May-1992","        0.00","        0.00","        0.00","      955.48","-","-"
"12-May-1992","        0.00","        0.00","        0.00","      849.75","-","-"
"13-May-1992","        0.00","        0.00","        0.00","      954.68","-","-"
"14-May-1992","        0.00","        0.00","        0.00","      947.22","-","-"
"18-May-1992","        0.00","        0.00","        0.00","      950.05","-","-"
"19-May-1992","        0.00","        0.00","        0.00","      980.41","-","-"
"20-May-1992","        0.00","        0.00","        0.00","      979.91","-","-"
"22-May-1992","        0.00","        0.00","        0.00","      947.48","-","-"
"25-May-1992","        0.00","        0.00","        0.00","      937.11","-","-"
"26-May-1992","        0.00","        0.00","        0.00","      907.04","-","-"
"27-May-1992","        0.00","        0.00","        0.00","      863.42","-","-"
"28-May-1992","        0.00","        0.00","        0.00","      839.85","-","-"
"29-May-1992","        0.00","        0.00","        0.00","      826.16","-","-"
"01-Jun-1992","        0.00","        0.00","        0.00","      829.92","-","-"
"02-Jun-1992","        0.00","        0.00","        0.00","      867.55","-","-"
"03-Jun-1992","        0.00","        0.00","        0.00","      860.01","-","-"
"04-Jun-1992","        0.00","        0.00","        0.00","      830.05","-","-"
"05-Jun-1992","        0.00","        0.00","        0.00","      853.54","-","-"
"08-Jun-1992","        0.00","        0.00","        0.00","      858.61","-","-"
"09-Jun-1992","        0.00","        0.00","        0.00","      873.70","-","-"
"10-Jun-1992","        0.00","        0.00","        0.00","      867.61","-","-"
"25-Jun-1992","        0.00","        0.00","        0.00","      859.48","-","-"
"26-Jun-1992","        0.00","        0.00","        0.00","      855.84","-","-"
"15-Jul-1992","        0.00","        0.00","        0.00","      816.88","-","-"
"16-Jul-1992","        0.00","        0.00","        0.00","      792.84","-","-"
"17-Jul-1992","        0.00","        0.00","        0.00","      786.32","-","-"
"20-Jul-1992","        0.00","        0.00","        0.00","      798.13","-","-"
"21-Jul-1992","        0.00","        0.00","        0.00","      803.35","-","-"
"22-Jul-1992","        0.00","        0.00","        0.00","      791.12","-","-"
"23-Jul-1992","        0.00","        0.00","        0.00","      755.21","-","-"
"27-Jul-1992","        0.00","        0.00","        0.00","      783.59","-","-"
"28-Jul-1992","        0.00","        0.00","        0.00","      793.18","-","-"
"29-Jul-1992","        0.00","        0.00","        0.00","      775.44","-","-"
"30-Jul-1992","        0.00","        0.00","        0.00","      759.90","-","-"
"31-Jul-1992","        0.00","        0.00","        0.00","      767.94","-","-"
"03-Aug-1992","        0.00","        0.00","        0.00","      765.72","-","-"
"04-Aug-1992","        0.00","        0.00","        0.00","      753.56","-","-"
"05-Aug-1992","        0.00","        0.00","        0.00","      735.25","-","-"
"06-Aug-1992","        0.00","        0.00","        0.00","      705.86","-","-"
"07-Aug-1992","        0.00","        0.00","        0.00","      719.79","-","-"
"10-Aug-1992","        0.00","        0.00","        0.00","      742.01","-","-"
"11-Aug-1992","        0.00","        0.00","        0.00","      750.32","-","-"
"12-Aug-1992","        0.00","        0.00","        0.00","      747.04","-","-"
"14-Aug-1992","        0.00","        0.00","        0.00","      780.95","-","-"
"17-Aug-1992","        0.00","        0.00","        0.00","      810.96","-","-"
"18-Aug-1992","        0.00","        0.00","        0.00","      821.45","-","-"
"19-Aug-1992","        0.00","        0.00","        0.00","      838.34","-","-"
"20-Aug-1992","        0.00","        0.00","        0.00","      842.32","-","-"
"21-Aug-1992","        0.00","        0.00","        0.00","      854.00","-","-"
"24-Aug-1992","        0.00","        0.00","        0.00","      862.49","-","-"
"25-Aug-1992","        0.00","        0.00","        0.00","      837.27","-","-"
"26-Aug-1992","        0.00","        0.00","        0.00","      821.13","-","-"
"27-Aug-1992","        0.00","        0.00","        0.00","      842.54","-","-"
"28-Aug-1992","        0.00","        0.00","        0.00","      850.86","-","-"
"01-Sep-1992","        0.00","        0.00","        0.00","      862.98","-","-"
"02-Sep-1992","        0.00","        0.00","        0.00","      856.82","-","-"
"03-Sep-1992","        0.00","        0.00","        0.00","      873.38","-","-"
"04-Sep-1992","        0.00","        0.00","        0.00","      895.35","-","-"
"07-Sep-1992","        0.00","        0.00","        0.00","      911.57","-","-"
"08-Sep-1992","        0.00","        0.00","        0.00","      902.60","-","-"
"09-Sep-1992","        0.00","        0.00","        0.00","      901.32","-","-"
"11-Sep-1992","        0.00","        0.00","        0.00","      906.78","-","-"
"14-Sep-1992","        0.00","        0.00","        0.00","      923.35","-","-"
"15-Sep-1992","        0.00","        0.00","        0.00","      961.56","-","-"
"16-Sep-1992","        0.00","        0.00","        0.00","      958.28","-","-"
"17-Sep-1992","        0.00","        0.00","        0.00","      952.64","-","-"
"18-Sep-1992","        0.00","        0.00","        0.00","      957.40","-","-"
"21-Sep-1992","        0.00","        0.00","        0.00","      932.13","-","-"
"22-Sep-1992","        0.00","        0.00","        0.00","      939.99","-","-"
"24-Sep-1992","        0.00","        0.00","        0.00","      928.79","-","-"
"25-Sep-1992","        0.00","        0.00","        0.00","      934.48","-","-"
"28-Sep-1992","        0.00","        0.00","        0.00","      926.93","-","-"
"29-Sep-1992","        0.00","        0.00","        0.00","      912.06","-","-"
"30-Sep-1992","        0.00","        0.00","        0.00","      938.14","-","-"
"01-Oct-1992","        0.00","        0.00","        0.00","      944.85","-","-"
"06-Oct-1992","        0.00","        0.00","        0.00","      928.08","-","-"
"08-Oct-1992","        0.00","        0.00","        0.00","      916.32","-","-"
"09-Oct-1992","        0.00","        0.00","        0.00","      932.55","-","-"
"12-Oct-1992","        0.00","        0.00","        0.00","      902.26","-","-"
"13-Oct-1992","        0.00","        0.00","        0.00","      904.68","-","-"
"14-Oct-1992","        0.00","        0.00","        0.00","      883.66","-","-"
"15-Oct-1992","        0.00","        0.00","        0.00","      879.08","-","-"
"20-Oct-1992","        0.00","        0.00","        0.00","      869.18","-","-"
"21-Oct-1992","        0.00","        0.00","        0.00","      840.12","-","-"
"22-Oct-1992","        0.00","        0.00","        0.00","      850.97","-","-"
"25-Oct-1992","        0.00","        0.00","        0.00","      854.45","-","-"
"28-Oct-1992","        0.00","        0.00","        0.00","      824.03","-","-"
"29-Oct-1992","        0.00","        0.00","        0.00","      817.73","-","-"
"30-Oct-1992","        0.00","        0.00","        0.00","      809.87","-","-"
"03-Nov-1992","        0.00","        0.00","        0.00","      835.50","-","-"
"04-Nov-1992","        0.00","        0.00","        0.00","      836.69","-","-"
"05-Nov-1992","        0.00","        0.00","        0.00","      805.87","-","-"
"06-Nov-1992","        0.00","        0.00","        0.00","      794.78","-","-"
"09-Nov-1992","        0.00","        0.00","        0.00","      773.63","-","-"
"11-Nov-1992","        0.00","        0.00","        0.00","      747.11","-","-"
"12-Nov-1992","        0.00","        0.00","        0.00","      761.61","-","-"
"13-Nov-1992","        0.00","        0.00","        0.00","      749.06","-","-"
"18-Nov-1992","        0.00","        0.00","        0.00","      724.68","-","-"
"19-Nov-1992","        0.00","        0.00","        0.00","      698.27","-","-"
"20-Nov-1992","        0.00","        0.00","        0.00","      712.21","-","-"
"23-Nov-1992","        0.00","        0.00","        0.00","      727.85","-","-"
"24-Nov-1992","        0.00","        0.00","        0.00","      734.06","-","-"
"25-Nov-1992","        0.00","        0.00","        0.00","      742.40","-","-"
"26-Nov-1992","        0.00","        0.00","        0.00","      723.14","-","-"
"27-Nov-1992","        0.00","        0.00","        0.00","      720.86","-","-"
"30-Nov-1992","        0.00","        0.00","        0.00","      726.38","-","-"
"01-Dec-1992","        0.00","        0.00","        0.00","      737.28","-","-"
"02-Dec-1992","        0.00","        0.00","        0.00","      751.85","-","-"
"03-Dec-1992","        0.00","        0.00","        0.00","      762.16","-","-"
"04-Dec-1992","        0.00","        0.00","        0.00","      785.57","-","-"
"10-Dec-1992","        0.00","        0.00","        0.00","      745.06","-","-"
"11-Dec-1992","        0.00","        0.00","        0.00","      740.91","-","-"
"14-Dec-1992","        0.00","        0.00","        0.00","      722.26","-","-"
"15-Dec-1992","        0.00","        0.00","        0.00","      718.83","-","-"
"16-Dec-1992","        0.00","        0.00","        0.00","      690.67","-","-"
"17-Dec-1992","        0.00","        0.00","        0.00","      695.82","-","-"
"18-Dec-1992","        0.00","        0.00","        0.00","      719.07","-","-"
"21-Dec-1992","        0.00","        0.00","        0.00","      739.48","-","-"
"22-Dec-1992","        0.00","        0.00","        0.00","      746.52","-","-"
"23-Dec-1992","        0.00","        0.00","        0.00","      748.00","-","-"
"24-Dec-1992","        0.00","        0.00","        0.00","      761.31","-","-"
